AGS_12,state,nuts2,district,name,population,male,female,male_under10,female_under10,male_10to19,female_10to19,male_20to29,female_20to29,male_30to39,female_30to39,male_40to49,female_40to49,male_50to59,female_50to59,male_60to69,female_60to69,male_70to79,female_70to79,male_80andover,female_80andover,working_population,agriculture_forests_fishery,mining_and_industry,energy_water_waste,construction,trade_carmechanics_tourism,traffic_storage_communication,finance_insurance,property,public_administration,other_services,unknown
8127,8,1,27,Schwäbisch Hall,186355,92317,94036,8942,8623,11683,11041,11809,10466,11125,10551,15741,15055,13757,13908,9049,9158,7118,9019,3093,6215,101360,4050,30160,980,5920,14320,5960,5220,9640,5640,19480,0
8128,8,1,28,Main-Tauber-Kreis,130624,64254,66371,5622,5383,7699,7331,7559,6720,6963,7179,10649,10601,9987,9761,7015,7126,6072,7027,2688,5243,68910,1840,21980,520,3660,10100,3160,2020,5150,5270,15220,
8135,8,1,35,Heidenheim,127816,62759,65058,5799,5387,7698,7120,7465,6743,6909,6906,10435,10100,9033,9218,6751,7080,6064,7478,2605,5026,63050,850,22060,670,2890,9110,3960,1350,5840,3190,13120,0
8136,8,1,36,Ostalbkreis,306530,150852,155677,14509,13966,18976,17806,18529,17217,18037,17738,25200,24561,21876,21901,15498,15980,12983,15875,5244,10633,158610,2540,52690,1590,8680,22930,8620,4470,13470,10780,32830,10
8211,8,2,11,"Baden-Baden, Stadt",52314,24350,27965,1974,1883,2504,2287,2512,2433,2441,2924,4029,4354,3481,3997,3139,3610,2880,3596,1390,2881,26570,,4680,340,1270,4620,2810,890,4130,1120,6600,
8212,8,2,12,"Karlsruhe, Stadt",289173,143407,145766,12150,11656,12693,11887,27171,22493,20169,19521,23483,21816,17758,18579,13644,14889,11464,14356,4875,10569,153540,,18340,2770,7000,22980,20220,5630,23950,10050,42250,0
8215,8,2,15,Karlsruhe,424122,207969,216152,19052,17859,24263,22626,23765,22632,23990,25034,37182,36343,31138,31793,22549,23529,18971,22410,7059,13926,225170,1960,49050,4460,11350,35730,20340,9800,27840,17590,47050,10
8216,8,2,16,Rastatt,222324,108942,113382,9683,9209,12714,11856,12467,11651,11920,12571,19188,19061,17131,16823,11699,12136,10213,12319,3927,7756,120160,800,37280,1540,5660,18240,8860,3700,14190,7960,21940,
8221,8,2,21,"Heidelberg, Stadt",146751,69265,77486,6019,5835,5999,5908,14639,18342,10671,10553,10546,10233,8293,8737,6271,7072,4722,6135,2105,4671,77650,,7510,910,1720,10400,7910,1750,11610,3070,32370,
8222,8,2,22,"Mannheim, Universitätsstadt",290117,141736,148381,12890,11710,13797,13036,21186,22911,19516,20327,24272,21433,18388,18803,14656,15960,12239,14331,4792,9870,145330,,25750,2630,6930,25500,14290,4170,23320,6250,35900,
8225,8,2,25,Neckar-Odenwald-Kreis,142810,70823,71987,6348,6029,8618,7879,8225,7551,7708,7732,12235,11929,11127,10713,7583,7640,6493,7495,2486,5019,72960,1090,22110,1140,3830,10170,3810,1760,6390,5880,16790,
8226,8,2,26,Rhein-Neckar-Kreis,524040,254721,269318,23546,22437,28668,27049,29299,28814,29189,31031,45772,45504,37098,38793,28623,30774,23687,27768,8839,17148,274550,1990,55210,3540,12620,46320,26370,9750,33650,16590,68510,0
8231,8,2,31,"Pforzheim, Stadt",114411,55090,59321,5487,4905,6041,5941,7479,7460,7037,6585,8587,8463,7688,7910,5505,6669,5087,6675,2179,4713,55030,,16950,310,2400,10180,3530,1150,6770,2020,11420,
8235,8,2,35,Calw,151048,74374,76675,6970,6667,9500,8846,8705,7904,8115,8375,12604,12612,11237,11229,7978,7936,6770,8110,2495,4996,79260,1120,22830,710,4270,12930,5200,2100,7520,5540,17030,
8236,8,2,36,Enzkreis,191354,93924,97429,8660,8070,11977,11182,10496,9705,10145,10474,16788,16809,14000,14076,10184,10649,8546,10139,3128,6325,101560,560,33740,1030,4280,16140,6010,3520,10880,5810,19590,
8237,8,2,37,Freudenstadt,115973,56908,59065,5506,5087,7192,6901,6843,6457,6479,6437,9738,9704,8509,8413,5698,5838,5068,6283,1875,3945,63070,970,21400,360,3700,10860,3530,1520,4850,3650,12230,
8311,8,3,11,"Freiburg im Breisgau, Stadt",209628,98705,110924,9361,9397,9375,9286,18927,22909,14805,14809,15771,15268,12268,13223,8466,9913,6563,9103,3169,7016,114030,1180,10860,1130,4060,19090,9630,1880,15650,6460,44080,
8315,8,3,15,Breisgau-Hochschwarzwald,247281,120078,127201,11753,11021,14987,13847,13163,13281,12960,13883,20788,21403,17628,18587,13259,14082,11055,12801,4485,8296,134010,3710,24880,1290,7890,26220,9110,4000,13960,9070,33870,0
8316,8,3,16,Emmendingen,156453,76641,79812,7508,6870,9197,8855,8905,8233,8434,8956,13681,13482,11625,11834,7955,8511,6815,8035,2521,5036,85740,1450,20510,1080,5260,15090,5420,2540,7370,5940,21090,0
8317,8,3,17,Ortenaukreis,410202,201308,208894,19202,18288,24537,22793,24216,22927,22477,23081,34896,33868,30508,30143,20070,21116,18183,21695,7219,14983,220660,4590,61920,1920,12540,39800,15940,5420,19470,13580,45450,30
8325,8,3,25,Rottweil,136479,67218,69260,6433,6056,8554,8207,7654,7216,7549,7522,11488,11290,9846,9394,7040,7236,6304,7587,2350,4752,73910,1150,27320,510,3730,10090,4410,1990,5790,4630,14290,
8326,8,3,26,Schwarzwald-Baar-Kreis,203967,99568,104399,8881,8778,11650,11017,12633,11520,10826,11061,16025,16154,14771,14989,10860,11370,9883,11880,4039,7630,106870,1350,35320,790,5210,15740,7170,2690,10840,6420,21340,
8327,8,3,27,Tuttlingen,132214,65378,66835,6507,6232,8154,7549,8145,7707,7812,7715,10664,10350,9427,9338,6395,6684,5944,6920,2330,4340,70560,570,32230,370,2960,9170,3430,1530,4960,3980,11350,
8335,8,3,35,Konstanz,266964,128473,138492,11800,11467,14253,13950,17958,17893,14122,15420,22037,22291,17646,18764,13704,14780,12195,14384,4758,9543,141210,2260,31720,1040,6890,25910,10600,3440,14890,8360,36110,0
8336,8,3,36,Lörrach,219002,106550,112453,10154,9728,13057,12441,12416,12014,11737,12785,18910,19116,15819,16063,10869,11573,9798,11633,3790,7100,116480,1270,31240,1360,6560,20300,8350,2690,12290,6330,26090,0
8337,8,3,37,Waldshut,163135,79941,83195,7945,7386,10204,9541,9095,8875,8571,8933,13413,13320,11823,12016,8367,8636,7525,8693,2998,5795,86410,1820,23740,1840,6590,15380,4760,2120,6650,4810,18710,
8415,8,4,15,Reutlingen,273352,133386,139967,12673,12094,15969,15090,16289,15970,15720,15937,23127,22760,18996,19588,13735,14601,12218,14707,4659,9220,146060,1980,43070,1370,7990,23570,10020,4510,14090,7940,31520,
8416,8,4,16,Tübingen,211951,102679,109273,9884,9600,12114,11445,16956,19089,13002,13056,16953,16928,14225,14821,9333,9503,7459,8980,2753,5851,115510,1000,21780,1030,5050,16340,7940,2920,12230,6970,40240,
8417,8,4,17,Zollernalbkreis,185560,90918,94641,8065,7737,10778,10318,11026,9917,9978,10132,15578,15236,13708,13714,9631,10047,8783,10659,3371,6881,96230,710,33330,550,5700,16940,5340,2350,7180,6600,17520,0
